row ID,MZ_RT,cor, p_value,p_value_corrected,L9,CE,L5,L10,L8,L4,L2,L3,L11,L7,L6,L17,L18,L15,L13,L14,L16,L12,L1
895,325.1252207_10.2608385,-0.610601666,0.005489939,1,2.30E-04,7.34E-05,1.16E-04,1.93E-04,2.32E-04,1.23E-04,8.78E-05,1.22E-04,1.30E-04,1.46E-04,1.36E-04,5.08E-10,4.96E-10,4.72E-10,2.56E-05,5.18E-10,4.52E-10,1.06E-04,1.72E-10
107,113.0601582_4.7862954,-0.449185948,0.053693962,1,4.84E-10,6.70E-05,5.60E-05,3.97E-10,4.22E-10,1.44E-04,1.45E-04,1.68E-04,5.17E-10,2.66E-10,2.74E-10,5.08E-10,4.96E-10,4.72E-10,5.25E-10,5.18E-10,4.52E-10,3.55E-10,1.72E-10
1771,639.4073_17.493925,-0.525008903,0.020993548,1,0.001534446,0.00126001,0.000991265,0.001165087,0.001114841,0.001349891,0.002024276,0.00178368,0.002026332,0.000932518,0.001145962,0.001981749,0.000538263,0.000315777,0.000805997,0.000519303,0.000797144,0.001024111,0.001842496
3050,254.2478255_28.707798,-0.262676975,0.277269933,1,4.84E-10,2.22E-10,2.58E-10,3.97E-10,4.22E-10,3.06E-10,2.66E-10,2.94E-10,5.17E-10,2.66E-10,2.74E-10,5.08E-10,4.96E-10,4.72E-10,5.25E-10,5.18E-10,4.52E-10,3.55E-10,2.85E-04
1056,111.0809443_11.257636,-0.411941799,0.079688671,1,4.84E-10,3.80E-04,1.90E-04,3.97E-10,4.22E-10,4.38E-04,5.21E-04,5.27E-04,5.17E-10,1.36E-05,7.51E-05,5.08E-10,4.96E-10,4.72E-10,5.25E-10,5.18E-10,4.52E-10,3.55E-10,1.72E-10
2604,415.2476512_25.258661,-0.115493621,0.6377629,1,4.84E-10,2.22E-10,2.58E-10,3.97E-10,4.22E-10,3.06E-10,2.66E-10,2.94E-10,5.17E-10,2.55E-03,2.74E-10,5.08E-10,4.96E-10,4.72E-10,5.25E-10,5.18E-10,4.52E-10,3.55E-10,1.72E-10
3149,594.2957603_29.686804,0.232396184,0.338356911,1,4.84E-10,2.22E-10,2.58E-10,3.97E-10,4.22E-10,3.06E-10,2.66E-10,2.94E-10,5.17E-10,2.66E-10,2.74E-10,5.08E-10,4.96E-10,4.72E-10,5.25E-10,5.18E-10,4.52E-10,1.18E-03,1.72E-10
2121,278.2479929_20.954557,-0.262676918,0.277270041,1,4.84E-10,2.22E-10,2.58E-10,3.97E-10,4.22E-10,3.06E-10,2.66E-10,2.94E-10,5.17E-10,2.66E-10,2.74E-10,5.08E-10,4.96E-10,4.72E-10,5.25E-10,5.18E-10,4.52E-10,3.55E-10,2.67E-04
2666,638.4580226_25.807533,-0.262677236,0.277269438,1,4.84E-10,2.22E-10,2.58E-10,3.97E-10,4.22E-10,3.06E-10,2.66E-10,2.94E-10,5.17E-10,2.66E-10,2.74E-10,5.08E-10,4.96E-10,4.72E-10,5.25E-10,5.18E-10,4.52E-10,3.55E-10,4.12E-04
685,155.1180232_8.994995,-0.669489904,0.001716857,1,5.18E-05,1.10E-04,1.90E-04,4.29E-05,1.29E-04,2.31E-04,1.42E-04,1.90E-04,5.17E-10,1.46E-04,1.79E-04,5.08E-10,4.96E-10,4.72E-10,5.25E-10,5.18E-10,4.52E-10,3.55E-10,1.72E-10
2306,334.2352252_22.961924,-0.261221018,0.28003937,1,4.84E-10,2.22E-10,2.58E-10,3.97E-10,4.22E-10,3.06E-10,2.66E-10,2.94E-10,5.17E-10,2.66E-10,2.74E-10,5.08E-10,4.96E-10,2.60E-05,5.25E-10,5.18E-10,4.52E-10,3.55E-10,5.14E-04
3195,464.3366002_30.165201,-0.115493369,0.637763639,1,4.84E-10,2.22E-10,2.58E-10,3.97E-10,4.22E-10,3.06E-10,2.66E-10,2.94E-10,5.17E-10,7.81E-04,2.74E-10,5.08E-10,4.96E-10,4.72E-10,5.25E-10,5.18E-10,4.52E-10,3.55E-10,1.72E-10
3215,585.4259037_30.440533,-0.369502664,0.119475431,1,4.84E-10,1.98E-04,2.58E-10,3.97E-10,4.22E-10,1.64E-05,7.27E-04,2.72E-04,5.17E-10,2.66E-10,2.74E-10,5.08E-10,4.96E-10,4.72E-10,5.25E-10,5.18E-10,4.52E-10,3.55E-10,1.14E-03
