row ID,MZ_RT,cor, p_value,p_value_corrected,C7,C8,C9,C10,C11,C12,C13,C14,C15
2098,267.1228159_19.818623,-0.138472976,0.722373949,1,1.61E-04,2.25E-04,8.84E-11,9.90E-11,1.53E-10,3.94E-10,9.78E-10,1.22E-09,1.49E-09
1441,171.091759_17.517506,-0.138259405,0.722788507,1,9.29E-05,1.29E-04,8.84E-11,9.90E-11,1.53E-10,3.94E-10,9.78E-10,1.22E-09,1.49E-09
1913,283.1905668_19.136393,-0.138226834,0.722851734,1,2.65E-04,3.70E-04,8.84E-11,9.90E-11,1.53E-10,3.94E-10,9.78E-10,1.22E-09,1.49E-09
2331,292.1906797_20.560854,0.138021817,0.723249756,1,7.82E-04,3.43E-03,4.25E-04,9.90E-11,1.53E-10,3.94E-10,9.78E-10,1.22E-09,1.49E-09
76,196.0970597_5.5071077,-0.137419029,0.724420342,1,2.20E-04,1.11E-04,7.06E-05,1.04E-05,1.53E-10,3.94E-10,9.78E-10,1.22E-09,1.49E-09
1587,339.2148352_17.989195,-0.137158526,0.72492638,1,2.16E-04,1.68E-04,5.33E-05,9.90E-11,1.53E-10,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4918,518.2992896_29.106789,0.137106832,0.725026809,1,1.49E-10,1.08E-10,8.84E-11,9.90E-11,1.83E-04,5.40E-04,9.78E-10,1.22E-09,1.49E-09
2697,493.2810754_21.959192,-0.136610264,0.725991704,1,1.49E-10,7.07E-04,7.21E-04,3.31E-04,2.06E-04,7.47E-04,1.59E-03,2.46E-03,1.49E-09
4836,353.3049231_28.800314,0.136596833,0.726017806,1,1.49E-10,1.08E-10,8.84E-11,9.90E-11,2.79E-04,8.27E-04,9.78E-10,1.22E-09,1.49E-09
2118,299.1830323_19.856005,0.13570139,0.727758624,1,1.49E-10,1.08E-10,8.84E-11,4.22E-05,1.49E-04,5.51E-04,9.78E-10,1.22E-09,1.49E-09
891,310.1048268_15.822738,0.135307006,0.728525684,1,2.63E-04,1.19E-03,1.37E-04,9.90E-11,1.53E-10,3.94E-10,9.78E-10,1.22E-09,1.49E-09
2570,614.4473553_21.44929,0.13507946,0.728968344,1,1.74E-04,7.08E-04,9.37E-05,9.90E-11,1.53E-10,3.94E-10,9.78E-10,1.22E-09,1.49E-09
2812,333.203744_22.375135,0.134799029,0.729513981,1,1.49E-10,1.08E-10,8.84E-11,9.90E-11,9.47E-05,2.86E-04,9.78E-10,1.22E-09,1.49E-09
2420,744.4527322_20.871542,0.13449918,0.730097517,1,9.54E-05,2.29E-04,5.83E-05,9.90E-11,1.53E-10,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4909,423.3465904_29.072144,0.134280902,0.730522382,1,1.49E-10,1.08E-10,8.84E-11,9.90E-11,3.81E-04,1.16E-03,9.78E-10,1.22E-09,1.49E-09
1533,228.101906_17.753407,-0.134266225,0.730550952,1,2.92E-04,4.13E-04,8.84E-11,9.90E-11,1.53E-10,3.94E-10,9.78E-10,1.22E-09,1.49E-09
2888,333.2038033_22.668367,0.134051019,0.730969905,1,1.49E-10,1.08E-10,8.84E-11,9.90E-11,9.31E-05,2.83E-04,9.78E-10,1.22E-09,1.49E-09
5387,456.4046361_31.233824,-0.133857563,0.731346568,1,1.49E-10,1.08E-10,8.84E-11,9.90E-11,1.05E-04,2.76E-03,2.83E-03,6.35E-05,1.49E-09
5188,399.3080887_30.234,-0.133765571,0.731525696,1,1.49E-10,1.08E-10,8.84E-11,9.90E-11,1.53E-10,8.05E-04,1.45E-04,3.43E-04,1.49E-09
2114,337.220454_19.853455,-0.133509911,0.732023579,1,2.27E-04,3.23E-04,8.84E-11,9.90E-11,1.53E-10,3.94E-10,9.78E-10,1.22E-09,1.49E-09
2334,166.0863577_20.556978,0.132102643,0.734765697,1,5.29E-05,2.76E-04,2.49E-05,9.90E-11,1.53E-10,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4463,370.2948932_27.713154,0.132012615,0.734941211,1,1.49E-10,1.08E-10,8.84E-11,2.27E-04,1.14E-03,2.90E-03,5.95E-04,1.22E-09,1.49E-09
788,180.1019877_15.576989,-0.131500205,0.735940368,1,9.93E-04,9.56E-04,1.88E-04,9.90E-11,1.53E-10,3.94E-10,9.78E-10,1.22E-09,1.49E-09
283,313.1183812_9.528928,-0.130309577,0.738263315,1,9.85E-05,5.13E-05,3.37E-05,9.90E-11,1.53E-10,3.94E-10,9.78E-10,1.22E-09,1.49E-09
486,153.0911668_13.2316,-0.130274984,0.738330836,1,7.43E-05,1.07E-04,8.84E-11,9.90E-11,1.53E-10,3.94E-10,9.78E-10,1.22E-09,1.49E-09
2730,267.1591829_22.046099,-0.130215333,0.738447267,1,2.62E-04,4.37E-04,1.80E-04,9.90E-11,1.53E-10,3.94E-10,9.78E-10,1.22E-09,3.07E-04
5475,287.2300303_31.67463,-0.130192819,0.738491213,1,1.49E-10,1.08E-10,8.84E-11,9.90E-11,1.53E-10,6.37E-04,4.54E-04,6.32E-05,1.49E-09
3042,646.4549323_23.220581,-0.129391904,0.740054973,1,1.37E-04,1.98E-04,8.84E-11,9.90E-11,1.53E-10,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4317,253.1796712_27.295982,0.129238282,0.740355009,1,1.49E-10,1.08E-10,8.84E-11,9.90E-11,1.63E-04,5.21E-04,9.78E-10,1.22E-09,1.49E-09
1931,331.248042_19.194122,-0.128866872,0.74108053,1,1.44E-04,2.09E-04,8.84E-11,9.90E-11,1.53E-10,3.94E-10,9.78E-10,1.22E-09,1.49E-09
580,279.1705165_14.380052,-0.128823335,0.741165588,1,4.23E-04,4.40E-04,7.00E-05,9.90E-11,1.53E-10,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4361,366.3213359_27.430857,-0.128645427,0.741513188,1,1.49E-10,1.08E-10,8.84E-11,3.83E-05,4.53E-04,1.67E-03,7.05E-04,8.07E-04,7.80E-05
1756,223.1693569_18.547901,-0.127594406,0.743567524,1,1.40E-04,2.04E-04,8.84E-11,9.90E-11,1.53E-10,3.94E-10,9.78E-10,1.22E-09,1.49E-09
2101,285.1333441_19.824575,-0.127009187,0.744712006,1,1.73E-04,2.43E-04,4.31E-06,9.90E-11,1.53E-10,3.94E-10,9.78E-10,1.22E-09,1.49E-09
5440,477.3337905_31.572445,-0.126834029,0.745054638,1,1.49E-10,1.08E-10,8.84E-11,9.90E-11,1.53E-10,8.14E-04,7.48E-04,1.22E-09,1.49E-09
1860,225.1487073_18.925117,0.126408353,0.745887476,1,2.73E-04,5.52E-04,1.66E-04,9.90E-11,1.53E-10,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4749,419.3133631_28.514513,0.124921361,0.74879857,1,1.49E-10,1.08E-10,8.84E-11,1.46E-05,1.66E-04,5.98E-04,9.78E-10,1.22E-09,1.49E-09
861,218.1174966_15.743732,-0.124914167,0.748812661,1,1.54E-04,2.27E-04,8.84E-11,9.90E-11,1.53E-10,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4817,339.289308_28.719347,0.124453469,0.749715135,1,1.49E-10,1.08E-10,8.84E-11,9.90E-11,4.05E-04,1.36E-03,9.78E-10,1.22E-09,1.49E-09
643,281.1286089_14.862179,-0.124296518,0.75002265,1,8.26E-05,1.22E-04,8.84E-11,9.90E-11,1.53E-10,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4961,456.404523_29.291355,0.124095379,0.75041679,1,1.49E-10,1.08E-10,8.84E-11,9.90E-11,1.64E-04,5.55E-04,9.78E-10,1.22E-09,1.49E-09
5205,379.3204999_30.330803,-0.123255502,0.752063095,1,1.49E-10,1.08E-10,8.84E-11,9.90E-11,2.03E-04,1.01E-02,6.09E-03,1.48E-03,1.49E-09
2726,746.5254174_22.046547,0.123230082,0.752112935,1,8.49E-04,1.82E-03,4.98E-04,9.90E-11,1.53E-10,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4489,407.3266901_27.781698,0.122657987,0.753234855,1,1.49E-10,1.08E-10,8.84E-11,4.66E-06,1.92E-04,6.73E-04,9.78E-10,1.22E-09,1.49E-09
2085,369.181152_19.760813,-0.122571424,0.753404647,1,1.52E-04,2.28E-04,8.84E-11,9.90E-11,1.53E-10,3.94E-10,9.78E-10,1.22E-09,1.49E-09
2054,277.2164215_19.600695,0.122477878,0.753588145,1,1.86E-04,7.06E-04,8.81E-05,9.90E-11,1.53E-10,3.94E-10,9.78E-10,1.22E-09,1.49E-09
4530,309.2421779_27.914894,0.122157322,0.754217024,1,1.49E-10,1.08E-10,1.29E-05,3.89E-05,3.57E-04,1.45E-03,9.78E-10,1.22E-09,1.49E-09
248,262.237827_8.991632,-0.122084713,0.754359488,1,1.49E-10,3.01E-05,9.68E-05,8.48E-05,8.48E-05,1.66E-04,4.68E-04,1.22E-09,1.71E-04
2305,219.1743999_20.464563,0.121927553,0.75466787,1,1.93E-04,6.15E-04,9.87E-05,9.90E-11,1.53E-10,3.94E-10,9.78E-10,1.22E-09,1.49E-09
2003,223.2056366_19.464697,0.121741202,0.755033571,1,3.36E-03,7.17E-03,1.94E-03,3.66E-05,1.53E-10,3.94E-10,9.78E-10,1.22E-09,1.49E-09
2006,109.1015804_19.465544,0.120089814,0.758276129,1,7.71E-04,1.93E-03,4.23E-04,9.90E-11,1.53E-10,3.94E-10,9.78E-10,1.22E-09,1.49E-09
